letter,count
û,26
î,17
µ,14
å,79
Ø,22
Ê,8
Ì,20
Ô,38
Ï,37
Ù,1
Ñ,2
À,1
þ,1
ð,1
Μ,48
Ż,3
ъ,2
ю,1
У,1
Ç,65
¹,3
ů,3
ķ,6
б,2
Д,1
М,2
Ģ,2
Ú,3
ĉ,1
đ,3
ď,2
Т,1
ʻ,2
ō,1
Ä,1
