letter,count
ļ,219666
ω,8
ξ,5
ķ,81046
ζ,5
ů,1
Ī,6389
љ,4
Ņ,3468
ћ,1
Ģ,894
Ē,1194
ŗ,12
й,3
¹,1
î,5
µ,1
ų,8
å,2
Æ,1
Ç,1
А,1
û,6
ġ,1
н,7
¼,1
ĳ,2
ₒ,1
Ρ,1
ō,5
Μ,3
р,6
з,4
в,6
ĉ,1
ď,2
đ,1
О,1
т,7
е,8
ч,3
с,8
о,9
п,1
и,4
Н,1
ш,3
к,3
ж,1
м,1
л,3
П,1
я,2
г,1
д,1
Т,1
ы,1
ь,2
ș,1
