word,count
ϋ,42489
ΐ,4469
ΰ,252
ˑ,9
ἐ,3
ῶ,2
ῃ,2
ὶ,2
ῖ,2
ἑ,2
ῆ,2
ὰ,1
脘,1
ῦ,1
ᾶ,1
ἢ,1
ἰ,1
ὐ,1
ͺ,1
