letter,count
È,17549
û,27
î,97
å,59
Ú,2
Ù,12
Ï,1
Ý,1
ð,2
Ì,7
Â,1
½,3
Ρ,3
ŕ,1
Ç,19
Μ,8
ω,1
µ,11
İ,1
ų,1
ķ,9
б,2
ъ,1
Д,1
ů,6
¹,1
Ż,1
Ģ,2
ĺ,5
đ,2
ď,2
ζ,1
ξ,1
Т,1
舃,1
³,1
ܧ,1
Ê,5
Ò,31
