letter,count
î,54577
û,53641
Ç,211
Â,97
Î,215
µ,20
³,18
å,65
Ë,2
Æ,2
È,58
þ,5
Œ,22
Μ,18
Ρ,8
ю,1
У,1
ŕ,5
ů,1
ļ,1
ǔ,10
ķ,7
¹,2
А,1
Ú,2
Ģ,3
đ,2
ď,2
ᵉ,28
ᵐ,25
ζ,1
ψ,1
ξ,1
Т,1
¾,1
ō,1
ʼ,1872
Ä,1
ˆ,1
