letter,count
û,20
µ,19
å,64
Ø,7
Ç,58
î,14
¹,2
Ý,1
Ż,3
ļ,1
ĺ,2
Μ,19
ů,2
ķ,7
б,2
ъ,1
Д,1
Ģ,3
М,3
ĉ,1
ǐ,4
đ,2
ď,10
₂,10
ψ,1
ș,1
舣,2
ō,1
